Post_Link,Posted_Title,Posted_Date,Brand,Model,Grade,Trim / Edition,Year of Manufacture,Condition,Transmission,Body type,Fuel type,Engine capacity,Mileage,Vehicle_Price
https://ikman.lk/en/ad/honda-civic-ex-2024-for-sale-colombo-10,Honda Civic EX 2024,"Posted on 18 Nov 10:31 am, Kohuwala, Colombo583views",Honda,Civic,0,EX,2024,Import,Automatic,Saloon,Petrol,"1,500 cc","9,000 km","Rs 21,000,000"
https://ikman.lk/en/ad/honda-crv-vit-l-7-seater-b-new-2025-for-sale-colombo-3,Honda CRV VIT-L 7 Seater B/New 2025,"Posted on 18 Nov 9:02 am, Kohuwala, Colombo162views",Honda,CRV,0,VIT-L 7 Seater B/New,2025,Brand New,Automatic,SUV / 4x4,Petrol,"1,500 cc",0 km,"Rs 33,000,000"
https://ikman.lk/en/ad/honda-vezel-z-play-with-sun-roof-2025-for-sale-gampaha,Honda Vezel Z Play with Sun Roof 2025,"Posted on 19 Nov 9:17 am, Kadawatha, Gampaha99views",Honda,Vezel,0,Z Play with Sun Roof,2025,Import,Automatic,Hatchback,Petrol,"1,500 cc",50 km,"Rs 19,800,000"
https://ikman.lk/en/ad/honda-vezel-z-premium-package-2025-for-sale-gampaha-3,Honda Vezel Z Premium Package 2025,"Posted on 19 Nov 9:17 am, Kadawatha, Gampaha83views",Honda,Vezel,0,Z Premium Package,2025,Import,Automatic,Hatchback,Petrol,"1,500 cc",50 km,"Rs 18,500,000"
https://ikman.lk/en/ad/honda-crv-vtilx-2024-for-sale-colombo-5,Honda CRV VTILX 2024,"Posted on 19 Nov 11:14 am, Kohuwala, Colombo386views",Honda,CRV,0,VTILX,2024,Reconditioned,Automatic,SUV / 4x4,Petrol,"1,500 cc","8,000 km","Rs 33,450,000"
https://ikman.lk/en/ad/honda-city-rs-turbo-2025-for-sale-colombo-357,Honda City Rs Turbo 2025,"Posted on 17 Nov 5:03 pm, Malabe, Colombo450views",Honda,City,0,Rs Turbo,2025,Import,Automatic,Saloon,Petrol,"1,000 cc",0 km,"Rs 13,700,000"
https://ikman.lk/en/ad/honda-n-wgn-l-style-2023-for-sale-colombo,Honda N-WGN L Style + 2023,"Posted on 17 Nov 5:01 pm, Dehiwala, Colombo132views",Honda,N-WGN,0,L Style +,2023,Used,Automatic,Hatchback,Petrol,650 cc,"1,000 km","Rs 8,300,000"
https://ikman.lk/en/ad/honda-civic-fd-1-2006-for-sale-colombo-14,,,0,0,0,0,0,0,0,0,0,0,0,
https://ikman.lk/en/ad/honda-city-rs-turbo-brand-new-2025-for-sale-colombo-90,Honda City RS Turbo Brand New 2025,"Posted on 17 Nov 4:21 pm, Kohuwala, Colombo158views",Honda,City,0,RS Turbo Brand New,2025,Used,Automatic,Saloon,Petrol,"1,000 cc",40 km,"Rs 14,250,000"
https://ikman.lk/en/ad/honda-city-rs-turbo-10l-2025-for-sale-colombo-4,Honda City RS Turbo 1.0L 2025,"Posted on 17 Nov 3:41 pm, Malabe, Colombo249views",Honda,City,0,RS Turbo 1.0L,2025,Import,Automatic,Saloon,Petrol,"1,000 cc",0 km,"Rs 13,700,000"
